TIME,ARG,AUS,AUT,BEL,BGR,CAN,CHE,CRI,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IDN,IRL,ISL,ISR,ITA,JPN,KOR,LUX,LVA,MEX,NLD,NOR,NZL,POL,PRT,ROU,SVK,SVN,SWE,USA,ZAF
2000-Q2,-1.60889246,0.940759964,0.796973388,0.719574385,0.931865052,1.188584709,0.442135362,0.100700576,0.809332948,1.138417342,1.258317872,2.504249339,0.770593242,1.032407875,0.654921704,0.921994078,-1.485972446,1.094141072,-0.574923718,2.624052372,1.01826089,3.074414087,0.816881619,0.472637656,1.332510215,-1.308913481,-0.258104519,1.506734641,1.116802889,-1.451450991,0.047454589,1.102426512,-0.528487831,1.39229734,0.990378792,1.398059032,2.480264289,1.820583008,0.919990786
2000-Q3,-0.255185082,0.248236127,0.565142895,0.463712377,0.841119413,1.016981788,0.937492102,0.861971877,-0.047224415,0.276238214,1.080112971,1.233840865,1.565924032,0.677876945,0.510036966,1.868409667,1.577473804,0.886741615,2.436406825,2.182679152,2.985293744,3.067003573,0.614603727,0.025657076,2.754591172,1.742455567,3.106625371,1.020507802,0.825163363,0.975499587,0.392632217,0.321144774,1.464864525,-1.619121049,0.606427939,1.169167758,0.799453203,0.099774128,0.990394283
2000-Q4,0.306858135,-0.362770507,1.282121738,0.977660399,0.906602045,0.1712074,1.336386204,0.92265574,-0.295305313,0.977800167,1.018595501,2.249923978,1.063064683,0.824404863,0.429040478,1.418925598,0.63267223,1.918133385,2.875613082,1.042830205,-1.112979329,-0.024754255,1.501155012,0.971960919,-0.324457972,0.587565665,-1.211522951,-0.862492403,1.299729479,0.039488318,0.196860728,1.787746878,0.669401591,0.669616285,0.567678685,0.71287995,-0.284274599,0.594361755,0.850954686
2001-Q1,0.163646159,1.041137547,-0.233537843,0.056388046,0.790335228,0.529651011,-0.178799865,1.417233211,2.02280698,-1.085721803,1.066791396,1.442800228,0.489247671,0.51100212,0.856367003,1.237878102,0.94042995,0.691399198,-0.712595937,1.57721805,0.502761862,-1.186911494,0.595756384,0.741961214,1.225554801,1.631256881,2.278713687,0.026937257,0.108520684,1.183873539,0.3484138,-0.324819058,-0.312683656,2.695631609,0.709741138,1.266692798,0.351507128,-0.324221003,0.614511833
2001-Q2,-0.829817774,0.816837446,-0.070824616,0.017986043,0.976490636,0.269490025,0.444232653,0.173043704,-0.046445592,0.488181251,0.745368702,0.124261954,0.119503397,0.118535033,0.366006178,-0.263573867,0.576573971,0.785743218,1.022894734,1.159099732,3.152916537,-0.335507102,-0.350156186,-0.750440167,1.298881026,-1.245687013,4.567149322,-0.537987027,0.505669035,-0.178444349,1.422753616,-0.29364751100000003,0.967446145,0.913500521,1.056220148,0.227136481,0.021463809,0.621389215,0.499704416
2001-Q3,-4.645878876,1.193073813,0.040774616,-0.190617769,1.310075974,-0.066614244,-0.038773653,1.273112325,-0.209109191,0.897826274,0.931995265,2.065120343,0.632169934,0.255718771,0.460117524,1.621616296,1.040855033,0.902779976,0.020738765,-0.500081849,-2.438486219,-1.041742522,-0.31675082,-1.089303363,1.350193624,1.438634796,-2.119741726,0.219593551,0.173787806,1.236688161,0.761885151,0.480016622,0.146341395,1.927419853,0.382869184,0.599802466,0.382220994,-0.400349016,0.265747943
2001-Q4,-5.694872931,1.209764099,0.368740018,-0.09969491,1.330769936,0.608829247,-0.313937087,0.48379866,-0.081492953,-0.197216541,0.680507295,1.467100305,-0.281151844,-0.065869298,0.162426854,0.264898641,0.689471934,0.743240053,1.416301355,1.895132914,5.909541148,-0.415621568,-0.199735202,-0.340720809,1.762585517,2.616537596,3.282445034,-0.635120459,0.322515301,0.873096416,1.484149488,0.013798008,1.399039679,0.811616376,2.1716693,1.0066457,0.841556953,0.277314358,0.769322925
2002-Q1,-4.931018536,0.762014306,1.001981603,0.859674646,1.568064738,1.484226046,0.018022269,0.471920251,-0.512640062,-0.033566445,0.430755321,0.696997516,0.654199432,0.574170589,0.347322027,0.817047668,2.068649617,2.307410312,1.219098583,1.957009869,-5.765540269,0.279672056,0.165912888,0.168088239,2.544481592,0.418170158,-0.024657312,-0.681136553,-0.610179989,-0.898576419,0.891059203,0.673443244,0.177808538,2.273200479,0.31583929,1.361285078,-0.116650499,0.828227216,1.08600902
2002-Q2,0.423986148,1.714537736,0.517752683,0.855923515,1.54895224,0.589373312,0.248665565,1.861572551,0.433303471,-0.009920153,0.821027301,3.497039593,0.989145658,0.417896097,0.525863509,2.238306787,1.264642156,0.512514177,1.285428675,0.462559725,3.554913161,0.547265999,0.362171875,0.810324729,1.812135416,1.758029925,3.831911146,0.924309337,0.348263578,2.083760725,1.317299536,0.696752269,-0.463985813,1.044607311,1.0049317,-0.174161944,1.542451588,0.615502456,1.268859181
2002-Q3,0.074497309,0.301610075,0.234154378,0.535435677,1.482387104,0.86544944,-0.041243159,0.794700589,0.466422564,0.340052292,0.616873221,2.004468963,-0.234029644,0.22944332,0.725898944,0.577044906,2.052006133,0.916255378,1.283531345,1.969927299,-0.853559831,0.048287699,0.204819055,0.314529453,2.021812956,-1.554092716,1.224562333,0.778007046,0.155263883,-1.48828962,1.172125092,0.943385845,-0.453600128,0.408777295,2.248052961,1.186865661,0.594651854,0.403528704,1.131829481
